date,open,high,low,close,volume
2016-06-22,2647.3,2675.45,2634.0,2665.5,111096.0
2016-06-23,2654.1,2657.95,2625.0,2644.3,80824.0
2016-06-24,2585.0,2592.1,2517.1,2570.7,305350.0
2016-06-27,2548.0,2548.0,2484.15,2495.35,209156.0
2016-06-28,2495.5,2502.0,2455.0,2461.8,186920.0
2016-06-29,2477.0,2509.0,2467.0,2499.6,116686.0
2016-06-30,2514.0,2563.8,2500.55,2550.8,371228.0
2016-07-01,2553.1,2571.0,2495.0,2501.8,97622.0
2016-07-04,2520.0,2525.0,2490.0,2494.8,105550.0
2016-07-05,2498.0,2498.0,2477.0,2482.7,60660.0
2016-07-07,2488.0,2492.9,2425.0,2429.05,147614.0
2016-07-08,2435.0,2443.0,2404.5,2425.5,228290.0
2016-07-11,2427.0,2469.0,2427.0,2463.65,101140.0
2016-07-12,2469.0,2476.65,2437.0,2461.5,62036.0
2016-07-13,2476.0,2498.0,2451.55,2491.4,112434.0
2016-07-14,2488.5,2526.85,2472.05,2520.3,182280.0
2016-07-15,2524.0,2528.0,2428.05,2441.9,578922.0
2016-07-18,2445.0,2470.0,2428.95,2433.5,182726.0
2016-07-19,2430.0,2467.05,2430.0,2461.55,76850.0
2016-07-20,2458.0,2499.0,2448.05,2493.25,116480.0
2016-07-21,2490.0,2515.0,2466.0,2501.25,98400.0
2016-07-22,2490.0,2520.9,2480.0,2509.15,85330.0
2016-07-25,2508.5,2555.0,2507.05,2551.55,125844.0
2016-07-26,2551.0,2563.0,2531.3,2548.3,85622.0
2016-07-27,2550.0,2580.0,2548.3,2576.1,112658.0
2016-07-28,2577.0,2626.6,2577.0,2615.55,120586.0
2016-07-29,2614.0,2632.0,2599.2,2618.55,84648.0
2016-08-01,2620.0,2720.0,2620.0,2698.0,306896.0
2016-08-02,2696.0,2716.0,2686.05,2692.1,311732.0
2016-08-03,2680.5,2694.0,2648.85,2656.25,132298.0
2016-08-04,2678.7,2682.05,2638.95,2652.65,110250.0
2016-08-05,2660.0,2682.9,2633.0,2648.9,202886.0
2016-08-08,2648.0,2666.8,2631.45,2651.9,69162.0
2016-08-09,2651.9,2659.0,2610.0,2650.55,100474.0
2016-08-10,2650.0,2680.0,2647.0,2673.9,114764.0
2016-08-11,2670.0,2715.0,2669.5,2704.3,68542.0
2016-08-12,2706.0,2740.0,2705.95,2732.35,83180.0
2016-08-16,2740.0,2740.0,2674.0,2691.45,69424.0
2016-08-17,2695.0,2695.0,2618.0,2623.9,97192.0
2016-08-18,2630.0,2657.0,2630.0,2636.7,33318.0
2016-08-19,2636.0,2647.8,2600.0,2603.95,63758.0
2016-08-22,2581.0,2593.5,2540.0,2551.45,84006.0
2016-08-23,2536.0,2606.0,2536.0,2603.2,89648.0
2016-08-24,2601.0,2601.0,2568.1,2571.9,75562.0
2016-08-25,2576.0,2589.2,2529.0,2550.1,95894.0
2016-08-26,2555.1,2571.55,2521.05,2529.15,54952.0
2016-08-29,2530.0,2533.95,2471.15,2501.6,117372.0
2016-08-30,2510.0,2574.75,2501.6,2548.7,68150.0
2016-08-31,2547.0,2547.0,2501.0,2512.55,73496.0
2016-09-01,2529.0,2530.0,2489.95,2507.6,51666.0
2016-09-02,2515.0,2519.0,2499.1,2513.5,62048.0
2016-09-06,2514.0,2544.0,2481.0,2484.05,520660.0
2016-09-07,2509.0,2509.0,2424.0,2447.0,293128.0
2016-09-08,2367.0,2367.0,2287.0,2321.15,603684.0
2016-09-09,2325.0,2366.0,2320.0,2352.5,191110.0
2016-09-12,2337.5,2364.6,2320.0,2359.1,141262.0
2016-09-14,2359.1,2374.95,2311.0,2328.55,265664.0
2016-09-15,2339.0,2344.5,2318.0,2328.05,243314.0
2016-09-16,2345.0,2376.95,2320.0,2361.15,395314.0
2016-09-19,2363.8,2422.95,2350.35,2407.35,171600.0
2016-09-20,2407.35,2419.9,2385.0,2411.1,75108.0
2016-09-21,2406.5,2421.4,2401.05,2413.5,1685842.0
2016-09-22,2428.5,2428.5,2371.0,2377.65,469060.0
2016-09-23,2384.0,2401.5,2375.0,2397.3,882088.0
2016-09-26,2393.0,2416.9,2393.0,2400.85,558926.0
2016-09-27,2405.0,2445.0,2405.0,2430.7,79766.0
2016-09-28,2430.0,2436.0,2415.0,2423.45,254512.0
2016-09-29,2428.0,2449.6,2419.45,2434.6,700728.0
2016-09-30,2435.0,2448.0,2425.0,2427.2,349554.0
2016-10-03,2440.0,2455.0,2401.3,2411.8,183492.0
2016-10-04,2412.0,2422.3,2395.05,2401.1,1519100.0
2016-10-05,2406.0,2413.4,2376.0,2382.55,92802.0
2016-10-06,2390.0,2397.55,2372.0,2384.25,91144.0
2016-10-07,2388.0,2388.0,2356.9,2368.25,88570.0
2016-10-10,2370.0,2385.0,2352.8,2380.1,164984.0
2016-10-13,2355.0,2367.85,2323.25,2328.5,792440.0
2016-10-14,2322.0,2384.4,2298.85,2365.9,363638.0
2016-10-17,2367.1,2377.0,2348.05,2362.9,114160.0
2016-10-18,2371.0,2410.0,2355.0,2398.3,147164.0
2016-10-19,2405.0,2405.0,2371.2,2394.2,108162.0
2016-10-20,2390.1,2408.75,2386.0,2399.85,55030.0
2016-10-21,2398.0,2431.25,2398.0,2428.7,86424.0
2016-10-24,2428.0,2430.55,2404.0,2427.85,40064.0
2016-10-25,2398.0,2414.4,2388.9,2398.65,69504.0
2016-10-26,2398.65,2403.95,2373.0,2396.95,83738.0
2016-10-27,2380.0,2425.0,2366.9,2413.25,108572.0
2016-10-28,2413.25,2415.0,2383.0,2399.25,69238.0
2016-11-01,2394.0,2394.6,2335.05,2347.7,75204.0
2016-11-02,2340.0,2340.0,2296.15,2304.45,1325668.0
2016-11-03,2294.0,2333.55,2284.0,2319.95,104006.0
2016-11-04,2301.0,2336.0,2294.95,2330.1,126488.0
2016-11-07,2331.5,2339.0,2263.1,2279.35,274938.0
2016-11-08,2280.0,2307.5,2262.3,2283.7,132148.0
2016-11-09,2220.9,2275.0,2142.3,2171.05,757174.0
2016-11-10,2200.0,2219.0,2142.0,2158.05,151660.0
2016-11-11,2145.0,2146.0,2091.0,2105.05,171570.0
2016-11-15,2115.0,2156.4,2054.7,2122.1,121138.0
2016-11-16,2125.0,2209.5,2125.0,2190.25,1019310.0
2016-11-17,2189.0,2204.7,2135.2,2142.15,126570.0
2016-11-18,2146.0,2149.05,2106.5,2123.15,95108.0
2016-11-21,2130.0,2141.0,2107.0,2132.55,84768.0
2016-11-22,2132.0,2174.9,2121.65,2134.3,80690.0
2016-11-23,2141.15,2162.3,2129.6,2156.7,737708.0
2016-11-24,2155.0,2208.0,2140.0,2186.5,529064.0
2016-11-25,2199.95,2310.0,2196.1,2300.85,307770.0
2016-11-28,2300.0,2317.7,2254.4,2277.3,128884.0
2016-11-29,2280.5,2290.25,2251.35,2258.4,70810.0
2016-11-30,2262.5,2295.0,2244.05,2276.75,96284.0
2016-12-01,2290.0,2290.0,2256.65,2266.45,68918.0
2016-12-02,2265.0,2269.9,2208.0,2223.9,81224.0
2016-12-05,2221.0,2235.15,2173.0,2186.45,75966.0
2016-12-06,2195.0,2204.0,2177.0,2190.45,91508.0
2016-12-07,2190.0,2190.0,2151.0,2158.2,132192.0
2016-12-08,2160.0,2200.0,2160.0,2196.9,125494.0
2016-12-09,2201.55,2220.95,2175.0,2193.45,106284.0
2016-12-12,2195.0,2215.5,2166.0,2206.25,435374.0
2016-12-13,2244.0,2244.0,2185.0,2200.85,81496.0
2016-12-14,2202.0,2223.0,2190.0,2207.9,112504.0
2016-12-15,2207.9,2271.5,2200.55,2259.5,212302.0
2016-12-16,2270.1,2286.0,2257.6,2281.75,89296.0
2016-12-19,2288.0,2296.05,2262.9,2287.5,55026.0
2016-12-20,2290.0,2344.0,2287.45,2337.75,129340.0
2016-12-21,2345.0,2345.0,2305.0,2312.75,63422.0
